AVG Arrivals,AVG Served,AVG Delay,AVG Delay Regular,AVG Delay Service Desk,AVG Queue Length,Queue Open Time 1,Queue Open Time 2,Queue Open Time 3,Queue Open Time 4,Queue Open Time 5,Queue Open Time 6
150.41,140.24,4.263114497631312,3.7140004241668625,5.980445792544697,0.8211923101530454,1.0,0.988137365725428,0.5999385546379101,0.09019206206046046,0.028330519801798185,1.0,
152.95,139.16,4.442055884407109,4.017768928602668,5.776084046427935,1.0477576318212765,1.0,0.9834174752117555,0.5570983434661211,0.13591517228859773,0.0573878741981926,1.0,
151.41,139.86,4.439558927380242,3.870072810578993,6.588481307453886,0.8630041311979153,1.0,0.9742012015796016,0.5562150441725401,0.12662338378791302,0.03868585162866739,1.0,
145.96,136.55,4.014928119298323,3.4847912378326176,5.571553612851103,0.7377421210157381,1.0,0.9859596655521902,0.5310995702699716,0.09190036359336937,0.013240099613809864,1.0,
153.53,139.07,4.455185338750426,4.07886108041545,5.636940454676699,1.03157591546831,1.0,0.9829612486454831,0.5049593283132318,0.15350979453292424,0.06318753913532386,1.0,
155.75,143.53,4.582411676584596,4.153962971782608,6.133293594659936,1.0195860699387074,1.0,0.9755642619460972,0.619828027872168,0.14270147097491642,0.05975597583531053,1.0,
151.0,141.28,4.397302995934464,3.7224280496972995,6.61052332028761,0.8321867345157539,1.0,0.9951792429977259,0.5983913278021056,0.08166457873177929,0.03591554346916244,1.0,
154.37,141.99,4.360735571923994,3.953352131315198,5.878814105693452,0.9091486383011549,1.0,0.9981268170489958,0.5869761521778208,0.1072644160569398,0.052209501405193315,1.0,
155.62,142.32,4.552143311964962,4.068311249353342,6.0976113450388985,0.9947698054858026,1.0,0.9957910542532314,0.5600524408720008,0.1410769750729685,0.068763144829394,1.0,
152.19,140.7,4.4164212335455515,3.902218049819079,6.347951833092805,0.8929242900314427,1.0,0.9915393330462787,0.592479246836393,0.08919820975666079,0.05422221534122133,1.0,
154.02,139.96,4.261546947137953,3.844028817957869,5.588474404721087,0.9783752873110232,1.0,0.9799579689622049,0.5776774871892054,0.13188231244548151,0.06254341168946466,1.0,
